단축코드,한글 종목약명,상장주식수
403490,우듬지팜,45212464
54050,농우바이오,16030561
69140,누리플랜,13102743
40160,누리플렉스,12055535
332290,누보,33384803
348340,뉴로메카,10531670
60260,뉴보텍,41560045
123840,뉴온,281344311
12340,뉴인텍,50907162
214870,뉴지랩파마,46796106
270870,뉴트리,9200224
144960,뉴파워프라즈마,43692624
85670,뉴프렉스,24450761
64260,다날,68949040
340360,다보링크,43388212
39560,다산네트웍스,39505981
154040,다산솔루에타,17950094
58730,다스코,19396941
30210,다올투자증권,60911106
23590,다우기술,44866617
32190,다우데이타,38300000
323350,다원넥스뷰,6312500
68240,다원시스,38163437
145210,다이나믹디자인,17301093
19680,대교,84702850
19685,대교우B,19426990
6370,대구백화점,10821611
00806K,대덕1우,1212357
8060,대덕,33890150
353200,대덕전자,49416925
35320K,대덕전자1우,2095519
178600,대동고려삼,4449600
20400,대동금속,3189166
8830,대동기어,8987520
490,대동,25640788
48470,대동스틸,10000000
8110,대동전자,10490447
4780,대륙제관,15903199
5750,대림B&Co,16672240
17650,대림제지,9000000
6570,대림통상,15225000
7720,대명소노시즌,100800450
389260,대명에너지,17050000
317850,대모,8324420
290670,대보마그네틱,7857660
78140,대봉엘에스,11086579
65150,대산F&B,125282405
1685,대상우,1370223
1680,대상,34648025
84695,대상홀딩스우,913482
84690,대상홀딩스,36212538
36480,대성미생물,3800000
128820,대성산업,45235478
117580,대성에너지,27500000
27830,대성창투,54000000
104040,대성파인텍,31301281
129920,대성하이텍,13715053
16710,대성홀딩스,16089459
438220,대신밸런스제13호스팩,5640000
442310,대신밸런스제14호스팩,6710000
457390,대신밸런스제15호스팩,7035000
457630,대신밸런스제16호스팩,7310000
471050,대신밸런스제17호스팩,6060000
20180,대신정보통신,38428915
3545,대신증권우,26000000
3547,대신증권2우B,10000000
3540,대신증권,50773400
45390,대아티아이,70473377
9190,대양금속,39608790
108380,대양전기공업,9567333
6580,대양제지,26850000
14160,대영포장,108394549
47040,대우건설,415622638
9320,대우부품,49299770
3090,대웅,58141980
69620,대웅제약,11586575
7680,대원,13446474
430,대원강업,62000000
48910,대원미디어,12578946
5710,대원산업,20037600
6345,대원전선우,2621200
6340,대원전선,74979175
3220,대원제약,22190194
24890,대원화성,41249152
290380,대유,24713612
2880,대유에이텍,46744020
300,대유플러스,126454909
120240,대정화금,7190391
3310,대주산업,35392350
114920,대주이엔티,3469500
78600,대주전자재료,15480593
15230,대창단조,28572230
12800,대창,91140499
96350,대창솔루션,163761009
140520,대창스틸,21109243
131220,대한과학,7454490
10170,대한광통신,74511166
54670,대한뉴팜,14354920
1070,대한방직,5300000
23910,대한약품,6000000
6650,대한유화,6500000
1440,대한전선,186447300
84010,대한제강,23414397
1795,대한제당우,6482760
1790,대한제당,89696580
1130,대한제분,1690000
3495,대한항공우,1110794
3490,대한항공,368220661
5880,대한해운,319177460
3830,대한화섬,1328000
16090,대현,44282310
69460,대호에이엘,67544896
21040,대호특수강,10852387
21045,대호특수강우,424246
67080,대화제약,18616650
161570,THE MIDONG,21096354
43090,더테크놀로지,70912752
298540,더네이쳐홀딩스,14751076
32860,더라미,40395863
192080,더블유게임즈,21495906
393890,더블유씨피,33696518
299170,더블유에스아이,30027963
89230,THE E&M,20311761
12510,더존비즈온,30382784
224060,더코디,4748398
302920,더콘텐츠온,4552359
213420,덕산네오룩스,24831179
317330,덕산테코피아,19959726
77360,덕산하이메탈,45437002
4835,덕성우,1392000
4830,덕성,15680000
90410,덕신이피씨,46084095
24900,덕양산업,32564980
263600,덕우전자,15930310
194480,데브시스터즈,12013380
263800,데이타솔루션,16216380
199150,데이터스트림즈,4268613
206560,덱스터,25411736
261200,덴티스,15809700
145720,덴티움,11068830
227420,도부마스크,16444510
67990,도이치모터스,31181550
2150,도화엔지니어링,33720000
6620,동구바이오제약,28464992
5160,동국산업,54244482
460850,동국씨엠,29898656
75970,동국알앤에스,18400000
100130,동국S&C,57143000
460860,동국제강,49608017
86450,동국제약,44460000
1230,동국홀딩스,31800483
4140,동방,47971766
99410,동방선기,14000000
7590,동방아그로,13617577
5965,동부건설우,225732
5960,동부건설,22946345
26960,동서,99700000
2210,동성제약,26100970
102260,동성케미컬,49689728
33500,동성화인텍,29989494
25950,동신건설,8400000
640,동아쏘시오홀딩스,6348913
170900,동아에스티,8834970
88130,동아엘텍,10662938
28100,동아지질,14052646
282690,동아타이어,13733015
41930,동아화성,15800000
1525,동양우,617731
1527,동양2우B,308569
84670,동양고속,2895569
1520,동양,238684063
82640,동양생명,161358585
60380,동양에스텍,19700000
79960,동양이엔피,7860000
8970,동양철관,118885290
228340,동양파일,20000000
92780,동양피스톤,13168460
88910,동우팜투테이블,25831764
94170,동운아나텍,18952781
49770,동원F&B,19295620
13120,동원개발,90808100
18500,동원금속,46754933
6040,동원산업,36021895
30720,동원수산,4653805
14825,동원시스템즈우,264111
14820,동원시스템즈,28991282
111380,동인기연,6128000
163560,동일고무벨트,13900000
109860,동일금속,9100000
32960,동일기연,3986323
4890,동일산업,2425215
2690,동일제강,20300360
23790,동일철강,19712667
5290,동진쎄미켐,51414494
25900,동화기업,50552040
20,동화약품,27931470
155,두산우,3996462
157,두산2우B,893038
454910,두산로보틱스,64819980
241560,두산밥캣,100249166
150,두산,16523835
34020,두산에너빌리티,640561146
131970,두산테스나,17006566
33626K,두산퓨얼셀1우,13364200
33626L,두산퓨얼셀2우B,2986300
336260,두산퓨얼셀,65493726
16740,두올,33066680
73190,듀오백,11968040
176750,듀켐바이오,27025220
30350,드래곤플라이,69388973
203650,드림시큐리티,50605754
223250,드림씨아이에스,23709280
60570,드림어스컴퍼니,75621573
362990,드림인사이트,16491966
192650,드림텍,68872362
217620,디딤이앤에프,57747210
16670,디모아,101858024
187870,디바이스이엔지,7036609
456440,DB금융스팩11호,5315000
24090,디씨엠,11400000
3160,디아이,28300000
92200,디아이씨,38888569
110990,디아이티,18900000
4840,DRB동일,19930000
263690,디알젬,11325610
214680,디알텍,73727108
347850,디앤디파마텍,10429232
377190,디앤디플랫폼리츠,64400000
263720,디앤씨미디어,12524473
376300,디어유,23738406
241520,DSC인베스트먼트,27496125
109740,디에스케이,25710390
290120,DH오토리드,15515138
25440,DH오토웨어,153906120
196490,디에이테크놀로지,169409360
66900,디에이피,22744503
180400,DXVX,30219432
127120,디엔에이링크,18686556
92070,디엔에프,11571858
7340,DN오토모티브,9994005
68790,DMS,24573061
39840,디오,15881755
219550,디와이디,58771527
13570,디와이,26319633
310870,디와이씨,20687271
210540,디와이파워,11041708
104460,디와이피엔에프,10713625
79810,디이엔티,22028094
113810,디젠스,32628051
43360,디지아이,9000000
197140,디지캡,13013154
68930,디지털대성,27675342
33130,디지틀조선,37115267
60900,DGP,25258229
105740,디케이락,10156513
